batch_id,crop,farmer,location,quantity_kg,temperature,humidity,quality_grade,transport_distance_km,delay_hours,quality_score
RICE-00091,Chilli,F135,Amalapuram,2264,30.3,69.85,A,298,13.7,70.3
RICE-00092,Chilli,F253,Rajahmundry,3735,29.49,70.23,A,16,16.3,86.0
RICE-00093,Maize,F118,Konaseema,1584,27.51,73.89,A,171,16.0,70.2
RICE-00094,Chilli,F099,Konaseema,4594,21.39,79.24,A,14,12.1,69.7
RICE-00095,Maize,F024,Razole,3883,30.83,74.96,A,209,3.4,86.2
RICE-00096,Rice,F250,Rajahmundry,1286,20.88,55.66,A,271,5.8,77.9
RICE-00097,Wheat,F226,Rajahmundry,1912,32.79,55.96,A,196,7.9,51.1
RICE-00098,Wheat,F013,Razole,1325,41.29,64.24,B,185,8.0,58.2
RICE-00099,Rice,F130,Amalapuram,1727,28.83,60.49,A,250,12.7,62.8
RICE-00100,Chilli,F144,Rajahmundry,2144,41.05,53.62,A,292,48.4,55.4
RICE-00101,Rice,F141,Razole,1089,24.54,60.58,A,259,20.1,86.2
RICE-00102,Chilli,F275,Konaseema,564,17.95,60.25,A,77,2.1,83.3
RICE-00103,Rice,F046,Konaseema,2474,23.99,58.28,A,173,18.8,96.0
RICE-00104,Chilli,F092,Rajahmundry,3654,21.54,61.84,A,247,18.4,91.3
RICE-00105,Chilli,F055,Amalapuram,1863,19.76,76.78,A,95,3.9,96.1
RICE-00106,Chilli,F073,Razole,4372,35.61,66.99,A,205,20.5,89.1
RICE-00107,Wheat,F272,Konaseema,2161,28.36,89.72,C,16,10.4,83.1
RICE-00108,Maize,F282,Amalapuram,4553,28.9,66.71,A,264,2.1,96.5
RICE-00109,Wheat,F014,Amalapuram,1561,25.45,62.1,A,188,16.6,93.8
RICE-00110,Maize,F189,Amalapuram,2927,40.72,65.04,A,225,45.7,37.8
RICE-00111,Chilli,F070,Razole,3934,31.82,67.56,A,249,9.7,99.1
RICE-00112,Wheat,F058,Rajahmundry,765,26.84,69.35,A,73,11.6,44.8
RICE-00113,Maize,F088,Rajahmundry,4685,40.88,85.77,B,140,59.5,40.1
RICE-00114,Wheat,F059,Razole,2142,26.02,56.55,A,259,18.1,75.4
RICE-00115,Wheat,F147,Amalapuram,2740,25.29,73.59,B,57,11.6,97.3
RICE-00116,Rice,F298,Rajahmundry,3327,37.45,67.08,A,248,38.3,51.0
RICE-00117,Rice,F176,Kothapeta,3393,17.11,49.29,A,93,15.6,58.2
RICE-00118,Rice,F217,Kothapeta,606,25.69,72.71,A,176,0.5,100.0
RICE-00119,Rice,F148,Razole,4402,27.28,77.68,A,157,3.1,62.4
RICE-00120,Maize,F005,Razole,3306,20.57,56.43,A,209,10.1,62.9
RICE-00121,Wheat,F026,Rajahmundry,4994,26.83,64.91,C,252,17.6,76.5
RICE-00122,Wheat,F081,Kothapeta,2621,27.27,47.75,B,111,0.1,75.2
RICE-00123,Maize,F073,Razole,3260,16.22,52.41,C,59,13.3,56.6
RICE-00124,Chilli,F252,Razole,2484,22.42,75.48,A,132,15.7,89.7
RICE-00125,Wheat,F253,Amalapuram,4504,29.04,60.34,B,187,18.0,90.2
RICE-00126,Rice,F256,Amalapuram,4245,28.94,53.91,A,227,0.0,95.8
RICE-00127,Chilli,F191,Razole,4588,21.23,67.29,B,228,11.3,73.5
RICE-00128,Wheat,F167,Konaseema,2769,27.79,59.78,C,108,28.7,79.4
RICE-00129,Wheat,F195,Amalapuram,4061,37.32,60.29,B,281,50.5,36.2
RICE-00130,Wheat,F122,Razole,2114,30.89,72.39,B,34,21.9,100.0
RICE-00131,Wheat,F201,Rajahmundry,2574,26.52,53.38,B,43,15.4,37.5
RICE-00132,Rice,F238,Kothapeta,3920,24.66,55.95,A,17,1.9,65.6
RICE-00133,Wheat,F229,Amalapuram,865,23.85,66.54,B,278,19.2,80.1
RICE-00134,Chilli,F184,Kothapeta,3697,44.76,74.69,A,62,36.6,45.7
RICE-00135,Maize,F018,Razole,571,27.98,77.38,C,184,17.6,76.1
RICE-00136,Wheat,F217,Kothapeta,3112,30.15,58.35,B,245,5.7,78.1
RICE-00137,Rice,F110,Konaseema,2647,27.66,74.37,A,232,10.3,70.1
RICE-00138,Maize,F223,Kothapeta,2609,31.09,57.16,A,285,13.6,81.0
RICE-00139,Maize,F162,Kothapeta,2724,27.47,83.26,A,25,14.5,89.4
RICE-00140,Chilli,F264,Razole,2713,30.92,53.66,A,128,16.9,76.5
RICE-00141,Rice,F102,Rajahmundry,2333,31.35,78.28,A,156,6.2,73.2
RICE-00142,Maize,F279,Rajahmundry,2531,42.25,58.44,B,211,59.3,43.3
RICE-00143,Maize,F253,Razole,3056,17.96,85.13,A,190,28.2,79.9
RICE-00144,Chilli,F100,Amalapuram,3935,34.72,70.91,B,172,36.9,53.9
RICE-00145,Chilli,F145,Kothapeta,2984,28.28,54.84,A,98,16.5,86.9
RICE-00146,Rice,F159,Konaseema,3391,18.43,59.78,A,40,1.2,73.2
RICE-00147,Rice,F230,Rajahmundry,4264,23.43,72.81,A,135,4.3,98.9
RICE-00148,Chilli,F207,Rajahmundry,4952,30.86,75.53,B,85,17.1,88.9
RICE-00149,Rice,F255,Rajahmundry,988,25.6,64.29,A,170,25.4,97.6
RICE-00150,Chilli,F111,Amalapuram,3708,24.44,65.45,A,241,0.1,64.8
RICE-00151,Maize,F151,Amalapuram,1513,44.2,72.58,A,170,27.3,66.1
RICE-00152,Chilli,F129,Rajahmundry,1385,21.76,66.32,B,179,14.0,61.4
RICE-00153,Maize,F272,Kothapeta,4068,37.86,52.06,A,22,42.0,35.2
RICE-00154,Maize,F092,Razole,809,40.56,56.87,B,196,50.0,35.9
RICE-00155,Wheat,F176,Kothapeta,4315,28.95,67.35,B,137,3.6,100.0
RICE-00156,Rice,F036,Kothapeta,3967,29.48,77.15,B,45,18.2,62.8
RICE-00157,Wheat,F255,Razole,4976,31.56,81.16,A,72,23.2,73.1
RICE-00158,Wheat,F115,Rajahmundry,3505,27.99,72.8,A,236,11.2,78.9
RICE-00159,Chilli,F102,Amalapuram,4428,37.15,67.87,A,275,44.0,61.4
RICE-00160,Chilli,F175,Rajahmundry,1033,25.7,72.49,A,157,7.3,53.6
RICE-00161,Wheat,F150,Amalapuram,4504,27.31,58.33,B,293,3.5,56.0
RICE-00162,Maize,F254,Kothapeta,1221,27.54,63.47,A,62,22.3,87.3
RICE-00163,Maize,F159,Rajahmundry,1914,43.56,56.76,A,96,51.3,35.3
RICE-00164,Maize,F155,Rajahmundry,1076,30.86,52.51,A,279,16.9,73.3
RICE-00165,Chilli,F032,Rajahmundry,2307,29.78,68.34,A,60,27.0,82.4
RICE-00166,Maize,F007,Amalapuram,3870,27.22,66.86,A,201,1.5,86.2
RICE-00167,Rice,F120,Rajahmundry,1706,22.95,71.88,B,73,6.5,77.9
RICE-00168,Maize,F299,Rajahmundry,4199,27.34,70.46,A,106,13.6,74.5
RICE-00169,Rice,F275,Rajahmundry,3228,26.86,67.43,C,148,6.4,92.7
RICE-00170,Rice,F189,Konaseema,3330,27.97,70.57,B,114,19.8,84.3
RICE-00171,Rice,F189,Razole,4724,38.03,64.57,A,263,10.1,70.3
RICE-00172,Chilli,F118,Rajahmundry,2443,24.38,69.13,A,292,2.1,80.6
RICE-00173,Wheat,F054,Razole,2050,29.11,57.74,A,155,12.7,85.7
RICE-00174,Wheat,F003,Amalapuram,4975,32.34,68.7,A,162,13.7,100.0
RICE-00175,Maize,F102,Razole,3006,27.49,71.68,A,26,21.3,91.8
RICE-00176,Wheat,F095,Konaseema,3265,38.69,58.3,B,77,15.9,98.2
RICE-00177,Rice,F058,Kothapeta,1833,25.11,65.52,B,21,16.6,70.8
RICE-00178,Chilli,F078,Razole,1469,28.62,58.76,A,258,15.2,72.1
RICE-00179,Wheat,F008,Kothapeta,1264,23.01,59.73,A,75,10.1,76.5
RICE-00180,Chilli,F182,Razole,1506,25.24,53.75,A,108,4.8,77.8
RICE-00181,Rice,F278,Amalapuram,1378,28.24,77.66,C,254,14.9,64.9
RICE-00182,Maize,F207,Razole,3860,31.23,75.66,A,216,8.7,99.0
RICE-00183,Wheat,F135,Razole,760,36.67,70.37,B,190,43.5,40.6
RICE-00184,Maize,F126,Razole,3332,33.3,84.72,B,21,25.4,75.4
RICE-00185,Maize,F092,Amalapuram,4771,26.53,63.11,A,173,18.3,89.6
RICE-00186,Rice,F043,Amalapuram,3944,25.34,95.32,A,172,15.8,83.3
RICE-00187,Maize,F179,Amalapuram,2312,36.75,62.72,A,102,40.7,57.6
RICE-00188,Rice,F170,Kothapeta,767,28.97,67.55,B,226,0.6,59.8
RICE-00189,Maize,F003,Kothapeta,4253,23.4,61.02,A,279,9.8,77.8
RICE-00190,Wheat,F125,Amalapuram,514,23.53,68.72,B,85,13.0,79.1
RICE-00191,Wheat,F084,Kothapeta,3565,22.29,73.36,B,106,14.3,89.4
RICE-00192,Wheat,F051,Amalapuram,3519,31.68,63.86,B,103,16.7,70.6
RICE-00193,Maize,F211,Amalapuram,1363,44.73,82.77,A,252,59.2,65.2
RICE-00194,Chilli,F158,Razole,3829,27.64,67.39,A,32,5.1,63.8
RICE-00195,Rice,F190,Rajahmundry,1289,38.09,67.7,B,269,40.7,67.3
RICE-00196,Maize,F214,Amalapuram,1515,30.66,55.91,A,234,26.5,81.0
RICE-00197,Rice,F294,Rajahmundry,4153,22.77,69.18,B,150,19.7,100.0
RICE-00198,Maize,F241,Kothapeta,4906,21.62,63.66,A,179,8.1,88.7
RICE-00199,Chilli,F186,Konaseema,1691,37.66,58.92,A,269,39.7,56.6
RICE-00200,Maize,F263,Amalapuram,4646,30.0,57.24,B,233,11.0,79.5
RICE-00201,Chilli,F143,Konaseema,4609,28.66,91.72,A,90,12.3,96.6
RICE-00202,Maize,F295,Konaseema,3962,22.95,62.37,A,24,16.7,71.1
RICE-00203,Wheat,F228,Amalapuram,1130,30.39,50.43,A,200,37.3,77.9
RICE-00204,Maize,F195,Kothapeta,1847,23.28,58.02,A,52,13.9,63.7
RICE-00205,Maize,F271,Razole,3549,24.39,64.48,B,35,18.6,100.0
RICE-00206,Chilli,F155,Konaseema,4996,22.28,70.47,A,294,4.9,85.9
RICE-00207,Chilli,F216,Rajahmundry,4165,33.51,70.55,A,147,7.2,69.4
RICE-00208,Maize,F086,Amalapuram,2391,30.17,71.77,A,198,24.3,78.3
RICE-00209,Chilli,F289,Konaseema,1558,30.02,58.55,C,73,16.0,87.6
RICE-00210,Maize,F187,Razole,4821,42.67,68.4,A,39,27.9,55.4
RICE-00211,Wheat,F234,Razole,1742,41.06,56.24,C,28,18.7,72.0
RICE-00212,Chilli,F138,Razole,2039,18.45,58.8,B,112,31.2,70.2
RICE-00213,Maize,F260,Konaseema,4840,23.31,55.82,A,11,8.0,85.1
RICE-00214,Wheat,F023,Konaseema,3027,23.92,53.12,B,131,27.2,74.6
RICE-00215,Maize,F035,Amalapuram,1690,22.75,75.64,B,104,15.7,73.2
RICE-00216,Rice,F152,Kothapeta,524,21.61,71.89,A,162,21.4,60.0
RICE-00217,Rice,F219,Rajahmundry,2434,25.5,74.77,A,180,11.9,81.2
RICE-00218,Maize,F242,Amalapuram,4937,20.92,65.39,B,99,11.5,77.3
RICE-00219,Chilli,F132,Konaseema,2446,28.68,72.77,B,142,16.5,75.2
RICE-00220,Rice,F195,Rajahmundry,3647,41.18,47.39,B,32,31.8,65.7
RICE-00221,Maize,F166,Konaseema,1638,29.41,73.63,C,97,15.6,91.2
RICE-00222,Wheat,F288,Konaseema,3990,29.54,66.77,A,293,17.8,90.5
RICE-00223,Rice,F196,Kothapeta,3991,30.02,71.27,B,297,7.9,88.3
RICE-00224,Wheat,F125,Kothapeta,3237,43.03,68.8,B,150,44.1,45.1
RICE-00225,Maize,F290,Razole,3973,37.61,55.13,A,282,18.9,71.5
RICE-00226,Chilli,F033,Rajahmundry,3104,28.17,50.02,A,155,29.5,64.3
RICE-00227,Wheat,F295,Rajahmundry,2202,44.14,57.88,A,46,28.2,31.9
RICE-00228,Wheat,F047,Amalapuram,3820,21.99,70.65,B,261,7.9,80.3
RICE-00229,Rice,F087,Rajahmundry,4258,18.3,71.9,A,130,3.1,68.2
RICE-00230,Maize,F246,Razole,4284,27.09,51.32,B,187,3.5,81.4
RICE-00231,Chilli,F220,Konaseema,1458,26.39,55.19,A,198,3.9,65.5
RICE-00232,Rice,F291,Rajahmundry,3544,24.66,57.77,A,99,12.4,55.1
RICE-00233,Chilli,F225,Konaseema,519,37.05,61.43,B,222,15.9,92.3
RICE-00234,Maize,F191,Kothapeta,3073,29.74,51.38,A,155,2.3,72.9
RICE-00235,Wheat,F104,Razole,3070,30.63,50.78,B,116,19.8,67.4
RICE-00236,Wheat,F002,Amalapuram,2135,22.34,56.78,A,96,18.0,63.6
RICE-00237,Maize,F038,Amalapuram,4973,44.86,65.86,C,226,35.4,64.0
RICE-00238,Maize,F090,Kothapeta,4473,27.18,53.19,A,82,10.3,100.0
RICE-00239,Wheat,F013,Rajahmundry,673,27.87,63.84,C,46,7.5,74.0
RICE-00240,Rice,F152,Amalapuram,1439,17.72,75.59,B,265,8.7,76.8
RICE-00241,Wheat,F233,Razole,1435,26.1,51.98,A,106,12.1,96.1
RICE-00242,Rice,F289,Kothapeta,4539,27.07,62.94,A,195,13.7,52.8
RICE-00243,Wheat,F147,Konaseema,2835,37.69,75.25,A,217,25.9,34.5
RICE-00244,Wheat,F262,Razole,3779,22.93,60.82,A,253,14.4,100.0
RICE-00245,Rice,F295,Rajahmundry,4144,24.3,59.26,B,191,9.4,39.4
RICE-00246,Chilli,F258,Kothapeta,3954,26.12,76.63,A,215,14.9,78.5
RICE-00247,Maize,F140,Konaseema,900,27.45,61.94,A,252,22.0,69.2
RICE-00248,Chilli,F098,Konaseema,1131,30.02,76.04,A,283,11.0,76.0
RICE-00249,Rice,F293,Kothapeta,2278,32.4,69.29,A,23,15.2,73.7
RICE-00250,Rice,F073,Kothapeta,2022,25.53,61.57,B,225,10.1,92.2
RICE-00251,Maize,F124,Kothapeta,3861,41.26,69.8,A,60,27.7,55.6
RICE-00252,Rice,F023,Amalapuram,1203,29.19,68.2,B,268,17.2,66.3
RICE-00253,Maize,F238,Kothapeta,2171,30.05,75.21,C,24,6.4,77.4
RICE-00254,Wheat,F195,Amalapuram,1564,24.83,59.52,A,81,15.9,87.7
RICE-00255,Rice,F026,Razole,1349,36.26,65.41,A,65,46.5,52.5
RICE-00256,Wheat,F067,Razole,1277,31.9,64.38,A,184,9.0,55.3
RICE-00257,Rice,F167,Razole,1379,33.46,72.04,A,11,8.7,100.0
RICE-00258,Rice,F162,Konaseema,3039,35.89,54.75,A,14,6.9,70.4
RICE-00259,Wheat,F240,Rajahmundry,2345,22.67,75.17,C,156,4.5,77.9
RICE-00260,Chilli,F080,Konaseema,2458,27.07,69.66,B,291,15.8,74.0
RICE-00261,Rice,F277,Rajahmundry,2657,41.02,51.83,A,163,56.6,54.3
RICE-00262,Maize,F133,Konaseema,3834,26.51,77.08,B,139,20.5,100.0
RICE-00263,Chilli,F246,Kothapeta,4378,23.75,87.34,A,200,6.7,88.7
RICE-00264,Chilli,F072,Konaseema,2868,19.57,75.02,B,170,31.0,57.2
RICE-00265,Wheat,F012,Konaseema,3390,27.46,79.27,A,121,8.2,59.2
RICE-00266,Maize,F017,Razole,3823,23.16,65.85,B,180,3.2,74.0
RICE-00267,Maize,F112,Razole,3606,38.01,48.38,C,10,52.1,41.4
RICE-00268,Wheat,F285,Konaseema,1104,23.03,46.56,B,80,5.3,54.2
RICE-00269,Wheat,F015,Rajahmundry,4923,21.5,67.55,B,205,27.3,92.3
RICE-00270,Maize,F111,Amalapuram,1241,36.63,59.08,A,109,54.4,67.8
RICE-00271,Rice,F033,Amalapuram,2353,27.75,55.85,B,25,18.0,100.0
RICE-00272,Rice,F279,Amalapuram,3436,29.9,64.37,A,46,3.0,100.0
RICE-00273,Chilli,F202,Kothapeta,2315,37.93,71.16,B,261,30.1,76.3
RICE-00274,Maize,F229,Konaseema,1594,28.39,50.47,A,105,8.5,86.6
RICE-00275,Maize,F214,Kothapeta,4655,29.43,60.51,A,16,9.3,61.5
RICE-00276,Maize,F197,Amalapuram,821,21.61,80.1,A,221,26.4,89.4
RICE-00277,Chilli,F232,Konaseema,1606,20.57,54.25,A,163,18.6,72.5
RICE-00278,Rice,F003,Amalapuram,4968,34.91,73.7,B,140,34.0,63.7
RICE-00279,Rice,F259,Razole,3784,22.38,60.15,B,269,14.5,75.7
RICE-00280,Maize,F222,Razole,891,21.78,70.46,C,100,8.0,73.0
RICE-00281,Maize,F222,Amalapuram,3895,41.86,75.97,A,176,38.2,31.4
RICE-00282,Wheat,F118,Amalapuram,4862,41.96,72.41,C,226,50.4,47.6
RICE-00283,Maize,F240,Razole,940,22.49,74.09,A,186,9.2,68.2
RICE-00284,Maize,F115,Razole,2363,25.48,53.48,A,70,23.4,100.0
RICE-00285,Chilli,F015,Rajahmundry,2607,33.15,76.14,B,207,18.0,60.1
RICE-00286,Rice,F272,Rajahmundry,1089,22.97,56.47,A,225,12.2,100.0
RICE-00287,Wheat,F071,Rajahmundry,1402,40.99,67.6,A,45,51.7,62.4
RICE-00288,Wheat,F031,Rajahmundry,1281,40.35,67.58,A,57,49.6,61.7
RICE-00289,Maize,F186,Kothapeta,1334,29.46,69.85,A,205,22.1,72.6
RICE-00290,Chilli,F070,Amalapuram,2315,23.9,68.37,B,44,16.3,74.8
RICE-00291,Maize,F257,Amalapuram,2587,19.09,56.56,A,265,13.7,92.0
RICE-00292,Chilli,F133,Amalapuram,1570,23.28,51.5,A,41,4.0,100.0
RICE-00293,Maize,F002,Razole,1802,26.73,73.72,A,292,20.7,97.9
RICE-00294,Wheat,F285,Razole,1365,32.83,66.86,A,204,19.3,73.9
RICE-00295,Wheat,F154,Rajahmundry,4082,38.5,76.49,B,138,34.1,52.4
RICE-00296,Chilli,F079,Konaseema,1452,26.58,64.55,C,87,37.7,68.3
RICE-00297,Maize,F203,Kothapeta,4584,30.38,50.95,B,109,3.1,65.1
RICE-00298,Maize,F159,Amalapuram,2924,15.09,74.66,B,227,9.6,62.8
RICE-00299,Rice,F009,Rajahmundry,4112,32.17,61.3,A,228,11.9,73.4
RICE-00300,Maize,F228,Amalapuram,3363,21.09,68.42,B,70,7.4,83.7
RICE-00301,Chilli,F121,Konaseema,1697,28.66,58.53,A,167,22.4,51.3
RICE-00302,Rice,F210,Kothapeta,3206,28.23,81.44,A,297,16.7,79.3
RICE-00303,Chilli,F268,Rajahmundry,1733,32.42,56.23,B,84,13.5,100.0
RICE-00304,Wheat,F183,Rajahmundry,1033,29.75,61.63,A,211,20.0,96.8
RICE-00305,Rice,F201,Konaseema,1646,43.78,66.07,B,59,57.4,56.7
RICE-00306,Maize,F077,Amalapuram,1740,23.08,54.08,B,251,43.8,59.0
RICE-00307,Wheat,F072,Konaseema,1107,27.69,68.31,C,59,13.5,86.9
RICE-00308,Maize,F125,Amalapuram,606,26.03,81.12,A,96,14.0,45.2
RICE-00309,Rice,F255,Kothapeta,4747,29.39,60.1,A,143,5.1,96.7
RICE-00310,Wheat,F157,Amalapuram,2810,30.95,68.95,B,117,6.6,76.8
RICE-00311,Wheat,F105,Konaseema,2309,38.26,37.51,A,59,45.4,49.4
RICE-00312,Rice,F234,Kothapeta,4684,25.93,64.61,A,195,1.4,54.1
RICE-00313,Maize,F256,Konaseema,1511,42.38,61.87,B,15,45.2,49.2
RICE-00314,Rice,F270,Amalapuram,2312,24.72,56.82,C,295,12.3,78.5
RICE-00315,Wheat,F090,Konaseema,4310,29.08,75.81,B,25,25.7,75.0
RICE-00316,Wheat,F213,Konaseema,3344,21.55,61.74,A,106,12.4,59.5
